pubchem_cid,pubchem_inchi,pubchem_smiles,name,origin,pIC50
52944597.0,"InChI=1S/C27H25FN4O3/c1-17-7-9-19(28)16-23(17)35-27-24(26(34)31-13-11-30-12-14-31)21-15-18(25(29)33)8-10-22(21)32(27)20-5-3-2-4-6-20/h2-10,15-16,30H,11-14H2,1H3,(H2,29,33)",CC1=C(C=C(C=C1)F)OC2=C(C3=C(N2C4=CC=CC=C4)C=CC(=C3)C(=O)N)C(=O)N5CCNCC5,b1i5d,BMCL2010,8.2218
44158910.0,"InChI=1S/C26H25FN4O/c1-18-19(6-5-9-22(18)27)16-24-25(26(32)30-14-12-28-13-15-30)21-17-29-11-10-23(21)31(24)20-7-3-2-4-8-20/h2-11,17,28H,12-16H2,1H3",CC1=C(C=CC=C1F)CC2=C(C3=C(N2C4=CC=CC=C4)C=CN=C3)C(=O)N5CCNCC5,b3f5g,BMCL2011B,8.0969
56665122.0,"InChI=1S/C27H27FN4O/c1-18-15-24-26(30-17-18)25(27(33)31-13-11-29-12-14-31)23(32(24)21-8-4-3-5-9-21)16-20-7-6-10-22(28)19(20)2/h3-10,15,17,29H,11-14,16H2,1-2H3",CC1=CC2=C(C(=C(N2C3=CC=CC=C3)CC4=C(C(=CC=C4)F)C)C(=O)N5CCNCC5)N=C1,b2a5g,BMCL2011A,8.0458
44158650.0,"InChI=1S/C27H26FN3O/c1-19-20(8-7-12-23(19)28)18-25-26(27(32)30-16-14-29-15-17-30)22-11-5-6-13-24(22)31(25)21-9-3-2-4-10-21/h2-13,29H,14-18H2,1H3",CC1=C(C=CC=C1F)CC2=C(C3=CC=CC=C3N2C4=CC=CC=C4)C(=O)N5CCNCC5,b1i2n,BMCL2010,8.0458
52940938.0,"InChI=1S/C26H24FN3O2/c1-18-21(27)11-7-13-23(18)32-26-24(25(31)29-16-14-28-15-17-29)20-10-5-6-12-22(20)30(26)19-8-3-2-4-9-19/h2-13,28H,14-17H2,1H3",CC1=C(C=CC=C1F)OC2=C(C3=CC=CC=C3N2C4=CC=CC=C4)C(=O)N5CCNCC5,b1i2l,BMCL2010,7.9586
52943410.0,"InChI=1S/C28H28FN3O2/c1-19-20(7-6-10-24(19)29)17-26-27(28(33)31-15-13-30-14-16-31)23-12-11-22(34-2)18-25(23)32(26)21-8-4-3-5-9-21/h3-12,18,30H,13-17H2,1-2H3",CC1=C(C=CC=C1F)CC2=C(C3=C(N2C4=CC=CC=C4)C=C(C=C3)OC)C(=O)N5CCNCC5,b1i5h,BMCL2010,7.9208
44158791.0,"InChI=1S/C26H25FN4O/c1-18-19(7-5-10-21(18)27)17-23-24(26(32)30-15-13-28-14-16-30)25-22(11-6-12-29-25)31(23)20-8-3-2-4-9-20/h2-12,28H,13-17H2,1H3",CC1=C(C=CC=C1F)CC2=C(C3=C(N2C4=CC=CC=C4)C=CC=N3)C(=O)N5CCNCC5,b2a3t,BMCL2011A,7.9208
56665115.0,"InChI=1S/C26H26N4O2/c1-18-8-6-9-19(2)24(18)32-26-22(25(31)29-16-14-27-15-17-29)23-21(12-7-13-28-23)30(26)20-10-4-3-5-11-20/h3-13,27H,14-17H2,1-2H3",CC1=C(C(=CC=C1)C)OC2=C(C3=C(N2C4=CC=CC=C4)C=CC=N3)C(=O)N5CCNCC5,b2a3l,BMCL2011A,7.8539
44159021.0,"InChI=1S/C26H25FN4O/c1-18-19(6-5-9-22(18)27)16-23-25(26(32)30-14-12-28-13-15-30)21-10-11-29-17-24(21)31(23)20-7-3-2-4-8-20/h2-11,17,28H,12-16H2,1H3",CC1=C(C=CC=C1F)CC2=C(C3=C(N2C4=CC=CC=C4)C=NC=C3)C(=O)N5CCNCC5,b2a6f,BMCL2011A,7.8539
56672057.0,"InChI=1S/C26H25FN4O2/c1-17-14-21-24(29-16-17)23(25(32)30-12-10-28-11-13-30)26(31(21)20-6-4-3-5-7-20)33-22-15-19(27)9-8-18(22)2/h3-9,14-16,28H,10-13H2,1-2H3",CC1=C(C=C(C=C1)F)OC2=C(C3=C(N2C4=CC=CC=C4)C=C(C=N3)C)C(=O)N5CCNCC5,b2a5c,BMCL2011A,7.8539
